14:03:13.757 [commands] INFO  GenCommands - 13.751 5:3:8
14:05:07.370 [commands] INFO  GenCommands - 07.370 7:4:2
14:05:07.377 [commands] INFO  GenCommands - 07.377 3:1:2
14:05:07.384 [commands] INFO  GenCommands - 07.384 6:8:6
14:05:07.390 [commands] INFO  GenCommands - 07.390 7:3:6
14:05:07.397 [commands] INFO  GenCommands - 07.397 0:2:1
14:05:07.405 [commands] INFO  GenCommands - 07.405 8:1:8
14:05:07.412 [commands] INFO  GenCommands - 07.412 0:2:1
14:05:07.418 [commands] INFO  GenCommands - 07.418 7:8:6
14:05:07.425 [commands] INFO  GenCommands - 07.425 6:3:5
14:05:07.432 [commands] INFO  GenCommands - 07.432 4:3:6
14:05:07.440 [commands] INFO  GenCommands - 07.440 3:8:7
14:05:07.446 [commands] INFO  GenCommands - 07.446 8:2:7
14:05:07.453 [commands] INFO  GenCommands - 07.453 4:6:8
14:05:07.459 [commands] INFO  GenCommands - 07.459 3:4:4
14:05:07.466 [commands] INFO  GenCommands - 07.466 2:4:1
14:05:07.473 [commands] INFO  GenCommands - 07.473 4:6:4
14:05:07.480 [commands] INFO  GenCommands - 07.480 5:3:8
14:05:07.486 [commands] INFO  GenCommands - 07.486 3:2:3
14:05:07.494 [commands] INFO  GenCommands - 07.494 1:3:3
14:05:07.502 [commands] INFO  GenCommands - 07.502 4:3:4
14:05:07.510 [commands] INFO  GenCommands - 07.510 6:8:1
14:05:07.516 [commands] INFO  GenCommands - 07.516 6:0:1
14:05:07.522 [commands] INFO  GenCommands - 07.522 6:2:8
14:05:07.530 [commands] INFO  GenCommands - 07.530 6:4:8
14:05:07.536 [commands] INFO  GenCommands - 07.536 3:1:6
14:05:07.543 [commands] INFO  GenCommands - 07.543 3:1:2
14:05:07.550 [commands] INFO  GenCommands - 07.550 6:3:1
14:05:07.558 [commands] INFO  GenCommands - 07.558 2:4:6
14:05:07.564 [commands] INFO  GenCommands - 07.564 6:5:1
14:05:07.572 [commands] INFO  GenCommands - 07.572 1:6:2
14:05:07.581 [commands] INFO  GenCommands - 07.581 4:6:7
14:05:07.588 [commands] INFO  GenCommands - 07.588 6:3:3
14:05:07.595 [commands] INFO  GenCommands - 07.595 2:5:1
14:05:07.602 [commands] INFO  GenCommands - 07.602 7:0:5
14:05:07.610 [commands] INFO  GenCommands - 07.610 4:1:1
14:05:07.617 [commands] INFO  GenCommands - 07.617 0:7:1
14:05:07.624 [commands] INFO  GenCommands - 07.624 2:5:1
14:05:07.630 [commands] INFO  GenCommands - 07.630 8:4:4
14:05:07.639 [commands] INFO  GenCommands - 07.639 6:7:7
14:05:07.645 [commands] INFO  GenCommands - 07.645 2:8:2
14:05:07.652 [commands] INFO  GenCommands - 07.652 3:2:8
14:05:07.659 [commands] INFO  GenCommands - 07.659 0:1:3
14:05:07.666 [commands] INFO  GenCommands - 07.666 1:2:8
14:05:07.673 [commands] INFO  GenCommands - 07.673 2:7:4
14:05:07.679 [commands] INFO  GenCommands - 07.679 2:1:7
14:05:07.686 [commands] INFO  GenCommands - 07.686 3:7:6
14:05:07.692 [commands] INFO  GenCommands - 07.692 3:5:1
14:05:07.698 [commands] INFO  GenCommands - 07.698 4:5:4
14:05:07.705 [commands] INFO  GenCommands - 07.705 6:8:4
14:05:07.713 [commands] INFO  GenCommands - 07.713 2:4:2
14:05:07.720 [commands] INFO  GenCommands - 07.720 5:7:2
14:05:07.726 [commands] INFO  GenCommands - 07.726 1:6:8
14:05:07.733 [commands] INFO  GenCommands - 07.733 4:8:2
14:05:07.741 [commands] INFO  GenCommands - 07.741 0:6:1
14:05:07.749 [commands] INFO  GenCommands - 07.749 8:4:2
14:05:07.755 [commands] INFO  GenCommands - 07.755 4:8:3
14:05:07.763 [commands] INFO  GenCommands - 07.763 0:7:5
14:05:07.770 [commands] INFO  GenCommands - 07.770 4:8:2
14:05:07.776 [commands] INFO  GenCommands - 07.776 0:6:1
14:05:07.782 [commands] INFO  GenCommands - 07.782 7:8:3
14:05:07.789 [commands] INFO  GenCommands - 07.789 0:5:7
14:05:07.795 [commands] INFO  GenCommands - 07.795 0:8:6
14:05:07.802 [commands] INFO  GenCommands - 07.802 0:5:6
14:05:07.809 [commands] INFO  GenCommands - 07.809 3:7:3
14:05:07.815 [commands] INFO  GenCommands - 07.815 3:5:7
14:05:07.824 [commands] INFO  GenCommands - 07.824 8:2:2
14:05:07.832 [commands] INFO  GenCommands - 07.832 3:2:4
14:05:07.838 [commands] INFO  GenCommands - 07.838 5:7:5
14:05:07.844 [commands] INFO  GenCommands - 07.844 6:7:1
14:05:07.850 [commands] INFO  GenCommands - 07.850 6:0:3
14:05:07.857 [commands] INFO  GenCommands - 07.857 4:6:1
14:05:07.864 [commands] INFO  GenCommands - 07.864 2:5:7
14:05:07.871 [commands] INFO  GenCommands - 07.871 8:7:2
14:05:07.878 [commands] INFO  GenCommands - 07.878 1:8:3
14:05:07.885 [commands] INFO  GenCommands - 07.885 4:8:5
14:05:07.891 [commands] INFO  GenCommands - 07.891 0:3:1
14:05:07.897 [commands] INFO  GenCommands - 07.897 1:4:7
14:05:07.903 [commands] INFO  GenCommands - 07.903 7:8:2
14:05:07.910 [commands] INFO  GenCommands - 07.910 0:7:5
14:05:07.917 [commands] INFO  GenCommands - 07.917 5:6:4
14:05:07.923 [commands] INFO  GenCommands - 07.923 6:2:1
14:05:07.931 [commands] INFO  GenCommands - 07.931 1:4:2
14:05:07.938 [commands] INFO  GenCommands - 07.938 4:7:6
14:05:07.945 [commands] INFO  GenCommands - 07.945 0:6:6
14:05:07.951 [commands] INFO  GenCommands - 07.951 5:2:5
14:05:07.957 [commands] INFO  GenCommands - 07.957 1:3:2
14:05:07.964 [commands] INFO  GenCommands - 07.964 0:6:3
14:05:07.970 [commands] INFO  GenCommands - 07.970 5:3:4
14:05:07.979 [commands] INFO  GenCommands - 07.979 4:3:2
14:05:07.986 [commands] INFO  GenCommands - 07.986 7:4:1
14:05:07.992 [commands] INFO  GenCommands - 07.992 5:7:8
14:05:07.999 [commands] INFO  GenCommands - 07.999 5:1:6
14:05:08.006 [commands] INFO  GenCommands - 08.006 8:7:5
14:05:08.013 [commands] INFO  GenCommands - 08.013 0:5:2
14:05:08.021 [commands] INFO  GenCommands - 08.021 8:7:6
14:05:08.028 [commands] INFO  GenCommands - 08.028 7:4:6
14:05:08.035 [commands] INFO  GenCommands - 08.035 8:6:5
14:05:08.042 [commands] INFO  GenCommands - 08.042 2:5:8
14:05:08.049 [commands] INFO  GenCommands - 08.049 3:6:5
14:05:08.055 [commands] INFO  GenCommands - 08.055 4:6:8
14:05:08.061 [commands] INFO  GenCommands - 08.061 4:8:3
14:05:08.067 [commands] INFO  GenCommands - 08.067 0:7:1
14:05:08.073 [commands] INFO  GenCommands - 08.073 6:5:1
14:05:08.079 [commands] INFO  GenCommands - 08.079 5:3:4
14:05:08.086 [commands] INFO  GenCommands - 08.086 6:1:1
14:05:08.093 [commands] INFO  GenCommands - 08.093 5:1:4
14:05:08.100 [commands] INFO  GenCommands - 08.100 5:6:2
14:05:08.107 [commands] INFO  GenCommands - 08.107 2:1:2
14:05:08.113 [commands] INFO  GenCommands - 08.113 6:8:2
14:05:08.120 [commands] INFO  GenCommands - 08.120 3:6:3
14:05:08.126 [commands] INFO  GenCommands - 08.126 6:3:7
14:05:08.133 [commands] INFO  GenCommands - 08.133 6:7:6
14:05:08.139 [commands] INFO  GenCommands - 08.139 4:3:3
14:05:08.146 [commands] INFO  GenCommands - 08.146 3:0:6
14:05:08.152 [commands] INFO  GenCommands - 08.152 2:1:1
14:05:08.159 [commands] INFO  GenCommands - 08.159 7:0:3
14:05:08.167 [commands] INFO  GenCommands - 08.167 8:6:4
14:05:08.174 [commands] INFO  GenCommands - 08.174 2:4:4
14:05:08.180 [commands] INFO  GenCommands - 08.180 2:0:3
14:05:08.187 [commands] INFO  GenCommands - 08.187 5:2:3
14:05:08.194 [commands] INFO  GenCommands - 08.194 3:4:5
14:05:08.201 [commands] INFO  GenCommands - 08.201 5:7:7
14:05:08.208 [commands] INFO  GenCommands - 08.208 7:2:6
14:05:08.217 [commands] INFO  GenCommands - 08.217 7:8:3
14:05:08.224 [commands] INFO  GenCommands - 08.224 1:3:1
14:05:08.230 [commands] INFO  GenCommands - 08.230 1:6:4
14:05:08.238 [commands] INFO  GenCommands - 08.238 0:3:4
14:05:08.245 [commands] INFO  GenCommands - 08.245 8:4:8
14:05:08.253 [commands] INFO  GenCommands - 08.253 3:2:1
14:05:08.260 [commands] INFO  GenCommands - 08.260 5:1:7
14:05:08.267 [commands] INFO  GenCommands - 08.267 0:7:6
14:05:08.273 [commands] INFO  GenCommands - 08.273 3:4:3
14:05:08.279 [commands] INFO  GenCommands - 08.279 2:3:4
14:05:08.287 [commands] INFO  GenCommands - 08.287 8:5:6
14:05:08.294 [commands] INFO  GenCommands - 08.294 8:0:2
14:05:08.301 [commands] INFO  GenCommands - 08.301 1:7:6
14:05:08.308 [commands] INFO  GenCommands - 08.308 8:6:2
14:05:08.315 [commands] INFO  GenCommands - 08.315 6:7:6
14:05:08.323 [commands] INFO  GenCommands - 08.323 2:0:7
14:05:08.330 [commands] INFO  GenCommands - 08.330 0:5:2
14:05:08.336 [commands] INFO  GenCommands - 08.336 6:1:3
14:05:08.342 [commands] INFO  GenCommands - 08.342 0:8:8
14:05:08.349 [commands] INFO  GenCommands - 08.349 7:5:5
14:05:08.356 [commands] INFO  GenCommands - 08.356 0:6:1
14:05:08.363 [commands] INFO  GenCommands - 08.363 0:4:6
14:05:08.370 [commands] INFO  GenCommands - 08.370 3:7:1
14:05:08.379 [commands] INFO  GenCommands - 08.379 8:0:2
14:05:08.386 [commands] INFO  GenCommands - 08.386 0:8:7
14:05:08.392 [commands] INFO  GenCommands - 08.392 1:7:8
14:05:08.399 [commands] INFO  GenCommands - 08.399 3:4:8
14:05:08.406 [commands] INFO  GenCommands - 08.406 3:2:3
14:05:08.412 [commands] INFO  GenCommands - 08.412 6:2:6
14:05:08.418 [commands] INFO  GenCommands - 08.418 1:0:7
14:05:08.424 [commands] INFO  GenCommands - 08.424 1:3:6
14:05:08.430 [commands] INFO  GenCommands - 08.430 1:4:2
14:05:08.437 [commands] INFO  GenCommands - 08.437 8:2:5
14:05:08.444 [commands] INFO  GenCommands - 08.444 3:4:6
14:05:08.451 [commands] INFO  GenCommands - 08.451 6:7:2
14:05:08.460 [commands] INFO  GenCommands - 08.460 1:4:2
14:05:08.466 [commands] INFO  GenCommands - 08.466 6:3:2
14:05:08.472 [commands] INFO  GenCommands - 08.472 1:2:7
14:05:08.478 [commands] INFO  GenCommands - 08.478 2:1:1
14:05:08.484 [commands] INFO  GenCommands - 08.484 3:5:3
14:05:08.490 [commands] INFO  GenCommands - 08.490 5:8:3
14:05:08.496 [commands] INFO  GenCommands - 08.496 2:4:7
14:05:08.503 [commands] INFO  GenCommands - 08.503 5:0:7
14:05:08.510 [commands] INFO  GenCommands - 08.510 3:1:8
14:05:08.516 [commands] INFO  GenCommands - 08.516 0:1:3
14:05:08.522 [commands] INFO  GenCommands - 08.522 3:7:5
14:05:08.528 [commands] INFO  GenCommands - 08.528 6:5:6
14:05:08.534 [commands] INFO  GenCommands - 08.534 8:6:5
14:05:08.540 [commands] INFO  GenCommands - 08.540 7:8:1
14:05:08.548 [commands] INFO  GenCommands - 08.548 1:8:2
14:05:08.555 [commands] INFO  GenCommands - 08.555 4:8:4
14:05:08.562 [commands] INFO  GenCommands - 08.562 7:5:7
14:05:08.569 [commands] INFO  GenCommands - 08.569 2:7:1
14:05:08.575 [commands] INFO  GenCommands - 08.575 4:3:8
14:05:08.582 [commands] INFO  GenCommands - 08.582 8:6:4
14:05:08.589 [commands] INFO  GenCommands - 08.589 3:7:7
14:05:08.596 [commands] INFO  GenCommands - 08.596 0:4:1
14:05:08.602 [commands] INFO  GenCommands - 08.602 3:2:7
14:05:08.608 [commands] INFO  GenCommands - 08.608 1:6:1
14:05:08.615 [commands] INFO  GenCommands - 08.615 0:2:8
14:05:08.622 [commands] INFO  GenCommands - 08.622 0:4:7
14:05:08.629 [commands] INFO  GenCommands - 08.629 5:2:1
14:05:08.635 [commands] INFO  GenCommands - 08.635 1:0:5
14:05:08.642 [commands] INFO  GenCommands - 08.642 2:6:1
14:05:08.649 [commands] INFO  GenCommands - 08.649 5:3:7
14:05:08.656 [commands] INFO  GenCommands - 08.656 4:3:5
14:05:08.662 [commands] INFO  GenCommands - 08.662 0:4:4
14:05:08.668 [commands] INFO  GenCommands - 08.668 8:4:5
14:05:08.675 [commands] INFO  GenCommands - 08.675 1:3:2
14:05:08.681 [commands] INFO  GenCommands - 08.681 3:1:8
14:05:08.689 [commands] INFO  GenCommands - 08.689 5:1:2
14:05:08.696 [commands] INFO  GenCommands - 08.696 6:1:1
14:05:08.704 [commands] INFO  GenCommands - 08.704 5:7:1
14:05:08.710 [commands] INFO  GenCommands - 08.710 0:7:2
14:05:08.716 [commands] INFO  GenCommands - 08.716 5:4:8
14:05:08.723 [commands] INFO  GenCommands - 08.723 6:5:1
14:05:08.729 [commands] INFO  GenCommands - 08.729 3:1:1
14:05:08.736 [commands] INFO  GenCommands - 08.736 8:6:7
14:05:08.744 [commands] INFO  GenCommands - 08.744 3:6:5
14:05:08.751 [commands] INFO  GenCommands - 08.751 7:4:3
14:05:08.757 [commands] INFO  GenCommands - 08.757 2:8:1
14:05:08.764 [commands] INFO  GenCommands - 08.764 1:4:8
14:05:08.770 [commands] INFO  GenCommands - 08.770 6:3:7
14:05:08.778 [commands] INFO  GenCommands - 08.778 0:7:3
14:05:08.784 [commands] INFO  GenCommands - 08.784 0:6:4
14:05:08.791 [commands] INFO  GenCommands - 08.791 7:4:4
14:05:08.798 [commands] INFO  GenCommands - 08.798 2:8:7
14:05:08.804 [commands] INFO  GenCommands - 08.804 3:1:3
14:05:08.811 [commands] INFO  GenCommands - 08.811 5:3:6
14:05:08.817 [commands] INFO  GenCommands - 08.817 6:2:2
14:05:08.823 [commands] INFO  GenCommands - 08.823 5:2:3
14:05:08.829 [commands] INFO  GenCommands - 08.829 4:3:7
14:05:08.836 [commands] INFO  GenCommands - 08.836 4:8:1
14:05:08.842 [commands] INFO  GenCommands - 08.842 0:7:6
14:05:08.848 [commands] INFO  GenCommands - 08.848 3:0:3
14:05:08.854 [commands] INFO  GenCommands - 08.854 2:1:3
14:05:08.860 [commands] INFO  GenCommands - 08.860 8:2:2
14:05:08.867 [commands] INFO  GenCommands - 08.867 6:3:2
14:05:08.874 [commands] INFO  GenCommands - 08.874 1:8:6
14:05:08.880 [commands] INFO  GenCommands - 08.880 2:8:3
14:05:08.887 [commands] INFO  GenCommands - 08.887 3:1:7
14:05:08.894 [commands] INFO  GenCommands - 08.894 7:6:3
14:05:08.902 [commands] INFO  GenCommands - 08.902 5:7:4
14:05:08.908 [commands] INFO  GenCommands - 08.908 7:8:2
14:05:08.914 [commands] INFO  GenCommands - 08.914 2:6:5
14:05:08.920 [commands] INFO  GenCommands - 08.920 8:1:3
14:05:08.927 [commands] INFO  GenCommands - 08.927 7:5:7
14:05:08.933 [commands] INFO  GenCommands - 08.933 2:1:7
14:05:08.940 [commands] INFO  GenCommands - 08.940 5:1:6
14:05:08.948 [commands] INFO  GenCommands - 08.948 1:8:5
14:05:08.955 [commands] INFO  GenCommands - 08.955 3:0:4
14:05:08.962 [commands] INFO  GenCommands - 08.962 6:5:2
14:05:08.969 [commands] INFO  GenCommands - 08.969 4:0:3
14:05:08.976 [commands] INFO  GenCommands - 08.976 7:0:4
14:05:08.984 [commands] INFO  GenCommands - 08.984 1:8:4
14:05:08.993 [commands] INFO  GenCommands - 08.993 5:3:4
14:05:09.000 [commands] INFO  GenCommands - 09.000 3:6:1
14:05:09.007 [commands] INFO  GenCommands - 09.007 4:6:5
14:05:09.013 [commands] INFO  GenCommands - 09.013 5:0:4
14:05:09.020 [commands] INFO  GenCommands - 09.020 7:5:1
14:05:09.027 [commands] INFO  GenCommands - 09.027 4:0:3
14:05:09.035 [commands] INFO  GenCommands - 09.035 0:3:2
14:05:09.045 [commands] INFO  GenCommands - 09.045 0:4:3
14:05:09.053 [commands] INFO  GenCommands - 09.053 6:7:7
14:05:09.060 [commands] INFO  GenCommands - 09.060 6:2:3
14:05:09.067 [commands] INFO  GenCommands - 09.067 4:8:6
14:05:09.076 [commands] INFO  GenCommands - 09.076 7:8:3
14:05:09.082 [commands] INFO  GenCommands - 09.082 5:3:7
14:05:09.090 [commands] INFO  GenCommands - 09.090 3:0:8
14:05:09.096 [commands] INFO  GenCommands - 09.096 5:0:7
14:05:09.103 [commands] INFO  GenCommands - 09.103 2:5:5
14:05:09.109 [commands] INFO  GenCommands - 09.109 7:3:4
14:05:09.116 [commands] INFO  GenCommands - 09.116 8:7:1
14:05:09.122 [commands] INFO  GenCommands - 09.122 6:0:6
14:05:09.129 [commands] INFO  GenCommands - 09.129 5:1:4
14:05:09.136 [commands] INFO  GenCommands - 09.136 1:3:8
14:05:09.143 [commands] INFO  GenCommands - 09.143 4:0:4
14:05:09.150 [commands] INFO  GenCommands - 09.150 2:4:3
14:05:09.156 [commands] INFO  GenCommands - 09.156 8:7:1
14:05:09.163 [commands] INFO  GenCommands - 09.163 5:4:3
14:05:09.170 [commands] INFO  GenCommands - 09.170 3:8:2
14:05:09.177 [commands] INFO  GenCommands - 09.177 7:2:5
14:05:09.184 [commands] INFO  GenCommands - 09.184 5:3:6
14:05:09.192 [commands] INFO  GenCommands - 09.192 7:8:1
14:05:09.199 [commands] INFO  GenCommands - 09.199 5:6:3
14:05:09.206 [commands] INFO  GenCommands - 09.206 7:4:8
14:05:09.212 [commands] INFO  GenCommands - 09.212 1:0:2
14:05:09.218 [commands] INFO  GenCommands - 09.218 3:5:2
14:05:09.225 [commands] INFO  GenCommands - 09.225 0:3:8
14:05:09.231 [commands] INFO  GenCommands - 09.231 0:3:2
14:05:09.238 [commands] INFO  GenCommands - 09.238 3:4:3
14:05:09.245 [commands] INFO  GenCommands - 09.245 5:1:4
14:05:09.252 [commands] INFO  GenCommands - 09.252 1:2:7
14:05:09.259 [commands] INFO  GenCommands - 09.259 3:2:5
14:05:09.265 [commands] INFO  GenCommands - 09.265 5:2:6
14:05:09.273 [commands] INFO  GenCommands - 09.273 1:8:8
14:05:09.279 [commands] INFO  GenCommands - 09.279 2:3:7
